state,electric_vehicle_type,total_vehicles,promedio_electric_range,model_year
IL,Battery Electric Vehicle (BEV),2022,3.0,0
WA,Battery Electric Vehicle (BEV),2023,51225.0,0
WA,Battery Electric Vehicle (BEV),2024,38676.0,0
AZ,Battery Electric Vehicle (BEV),2021,1.0,0
MO,Battery Electric Vehicle (BEV),2024,3.0,0
MD,Battery Electric Vehicle (BEV),2023,8.0,0
NV,Battery Electric Vehicle (BEV),2023,4.0,0
WA,Battery Electric Vehicle (BEV),2025,28171.0,0
MO,Battery Electric Vehicle (BEV),2023,2.0,0
IL,Battery Electric Vehicle (BEV),2023,3.0,0
MI,Battery Electric Vehicle (BEV),2024,1.0,0
NY,Battery Electric Vehicle (BEV),2024,1.0,0
HI,Battery Electric Vehicle (BEV),2022,1.0,0
DC,Battery Electric Vehicle (BEV),2025,1.0,0
VA,Battery Electric Vehicle (BEV),2025,1.0,0
OH,Battery Electric Vehicle (BEV),2024,1.0,0
AR,Battery Electric Vehicle (BEV),2022,1.0,0
QC,Battery Electric Vehicle (BEV),2022,1.0,0
OH,Battery Electric Vehicle (BEV),2023,2.0,0
NY,Battery Electric Vehicle (BEV),2023,2.0,0
NY,Battery Electric Vehicle (BEV),2021,1.0,0
WA,Battery Electric Vehicle (BEV),2026,12067.0,0
WA,Battery Electric Vehicle (BEV),2022,24771.0,0
IL,Battery Electric Vehicle (BEV),2024,2.0,0
IN,Battery Electric Vehicle (BEV),2021,1.0,0
WI,Battery Electric Vehicle (BEV),2022,1.0,0
ID,Battery Electric Vehicle (BEV),2022,1.0,0
KS,Battery Electric Vehicle (BEV),2024,1.0,0
MD,Battery Electric Vehicle (BEV),2025,2.0,0
BC,Battery Electric Vehicle (BEV),2023,1.0,0
MA,Battery Electric Vehicle (BEV),2023,3.0,0
AB,Battery Electric Vehicle (BEV),2024,1.0,0
OK,Battery Electric Vehicle (BEV),2023,2.0,0
CA,Battery Electric Vehicle (BEV),2022,15.0,0
CO,Battery Electric Vehicle (BEV),2023,6.0,0
MI,Battery Electric Vehicle (BEV),2025,4.0,0
AL,Battery Electric Vehicle (BEV),2021,1.0,0
BC,Battery Electric Vehicle (BEV),2022,1.0,0
CT,Battery Electric Vehicle (BEV),2021,1.0,0
TX,Battery Electric Vehicle (BEV),2025,2.0,0
PA,Battery Electric Vehicle (BEV),2024,2.0,0
NV,Battery Electric Vehicle (BEV),2024,2.0,0
NV,Battery Electric Vehicle (BEV),2022,2.0,0
VA,Battery Electric Vehicle (BEV),2024,11.0,0
AZ,Battery Electric Vehicle (BEV),2024,3.0,0
AP,Battery Electric Vehicle (BEV),2023,1.0,0
OR,Battery Electric Vehicle (BEV),2023,3.0,0
NC,Battery Electric Vehicle (BEV),2021,2.0,0
VA,Battery Electric Vehicle (BEV),2023,18.0,0
AZ,Battery Electric Vehicle (BEV),2023,5.0,0
RI,Battery Electric Vehicle (BEV),2022,1.0,0
CT,Battery Electric Vehicle (BEV),2022,1.0,0
AE,Battery Electric Vehicle (BEV),2021,1.0,0
WY,Battery Electric Vehicle (BEV),2023,1.0,0
MA,Battery Electric Vehicle (BEV),2024,1.0,0
NC,Battery Electric Vehicle (BEV),2024,1.0,0
MO,Battery Electric Vehicle (BEV),2025,1.0,0
KS,Battery Electric Vehicle (BEV),2025,2.0,0
CO,Battery Electric Vehicle (BEV),2022,4.0,0
VA,Battery Electric Vehicle (BEV),2021,6.0,0
MD,Battery Electric Vehicle (BEV),2021,3.0,0
NE,Battery Electric Vehicle (BEV),2023,1.0,0
UT,Battery Electric Vehicle (BEV),2023,1.0,0
MI,Battery Electric Vehicle (BEV),2022,1.0,0
CA,Battery Electric Vehicle (BEV),2021,17.0,0
GA,Battery Electric Vehicle (BEV),2023,5.0,0
NJ,Battery Electric Vehicle (BEV),2022,4.0,0
NC,Battery Electric Vehicle (BEV),2023,6.0,0
FL,Battery Electric Vehicle (BEV),2025,2.0,0
TX,Battery Electric Vehicle (BEV),2024,3.0,0
KY,Battery Electric Vehicle (BEV),2025,2.0,0
CO,Battery Electric Vehicle (BEV),2021,1.0,0
TX,Battery Electric Vehicle (BEV),2021,2.0,0
VA,Battery Electric Vehicle (BEV),2026,1.0,0
TX,Battery Electric Vehicle (BEV),2022,7.0,0
IL,Battery Electric Vehicle (BEV),2025,2.0,0
VA,Battery Electric Vehicle (BEV),2022,10.0,0
FL,Battery Electric Vehicle (BEV),2024,6.0,0
MS,Battery Electric Vehicle (BEV),2022,1.0,0
TN,Battery Electric Vehicle (BEV),2024,1.0,0
NV,Battery Electric Vehicle (BEV),2025,1.0,0
CA,Battery Electric Vehicle (BEV),2023,34.0,0
NY,Battery Electric Vehicle (BEV),2026,1.0,0
OH,Battery Electric Vehicle (BEV),2022,2.0,0
